society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
"  international city by sobha phase 2, sector 109, gurgaon",7.75,sector 109,14351.85,house,5400.0,7020.0,4590.0,5400.0,4.0,5.0,"  international city by sobha phase 2, sector 109, gurgaon",2.0,na,new property,3+,0,1,0,0,1,2,163
  bptp mansions park prime,4.0,sector 66,13140.6,flat,3044.0,3044.0,2130.7999999999997,2587.4,4.0,4.0,"BPTP Mansions Park Prime Sector 66, Gurgaon",10.0,north,relatively new property,,1,1,1,1,0,1,221
"  dlf phase 4, gurgaon",14.0,sector 28,,house,,,,,7.0,7.0,"  dlf phase 4, gurgaon",3.0,north-west,relatively new property,3+,1,1,1,0,1,1,103
  gpl eden heights,1.75,sector 70,14000.0,flat,1250.0,1250.0,750.0,937.5,2.0,2.0,"GPL Eden Heights Sector 70, Gurgaon",8.0,north,relatively new property,,0,0,1,0,0,2,151
  m3m skycity,3.4,sector 65,18599.56,flat,1828.0,1828.0,1188.2,1462.4,3.0,3.0,"M3M Skycity Sector 65, Gurgaon",15.0,north-east,relatively new property,,0,1,0,0,0,1,221
  emaar mgf palm terraces select,4.3,sector 66,17842.32,flat,2410.0,2410.0,1687.0,2048.5,4.0,5.0,"Emaar Mgf Palm Terraces Select Sector 66, Gurgaon",8.0,north-east,moderatly old property,,0,1,0,0,0,1,190
  bptp mansions park prime,3.25,sector 66,,flat,,,,,4.0,3.0,"BPTP Mansions Park Prime Sector 66, Gurgaon",9.0,east,moderatly old property,,0,0,1,0,0,2,46
  m3m heights,2.55,sector 65,17794.84,flat,1433.0,1433.0,859.8,1074.75,2.0,2.0,"M3M Heights Sector 65, Gurgaon",10.0,north,new property,,0,0,1,0,0,1,128
  ireo skyon,3.81,sector 60,18630.81,flat,2045.0,2045.0,1329.25,1636.0,3.0,4.0,"Ireo Skyon Sector 60, Gurgaon",10.0,south,relatively new property,,0,1,0,0,0,1,137
  emaar mgf the palm drive,3.95,sector 66,20256.41,flat,1950.0,1950.0,1267.5,1560.0,3.0,3.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",14.0,south-east,relatively new property,,0,1,0,0,0,2,103
